Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
3375007062,"Apr 30, 2020, 11:58:20 AM",Passeio da Nina 30/04/2020,Walk,,3894,3.10,,,false,,activities/3375007062.gpx,,,3894.0,3275.0,3103.10009765625,6.599999904632568,0.9475114345550537,5.0,5.0,5.099999904632568,15.199999809265137,48.099998474121094,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3379649698,"May 1, 2020, 11:55:20 AM",Passeio da Nina 01/05/2020,Walk,,4254,3.97,,,false,,activities/3379649698.gpx,,,4254.0,3727.0,3976.39990234375,3.200000047683716,1.066917061805725,14.336380958557129,14.23639965057373,4.599999904632568,13.800000190734863,14.399999618530273,0.0025148375425487757,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396237487,"May 4, 2020, 11:54:40 AM",Passeio da Nina 04/05/2020,Walk,,3804,2.78,,,false,,activities/3396237487.gpx,,,3804.0,3124.0,2787.699951171875,4.900000095367432,0.8923495411872864,4.793649196624756,4.593649864196777,5.300000190734863,10.5,4.199999809265137,0.007174373138695955,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3401608299,"May 5, 2020, 12:08:07 PM",Passeio da Nina 05/05/2020,Walk,,4101,3.18,,,false,,activities/3401608299.gpx,,,4101.0,3522.0,3181.699951171875,5.699999809265137,0.9033787846565247,10.128846168518066,8.628800392150879,8.800000190734863,13.899999618530273,9.0,0.047144606709480286,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404484294,"May 5, 2020, 8:17:48 PM",Passeio do Jack 05/05/2020,Walk,,2234,2.31,,,false,,activities/3404484294.gpx,,,2234.0,1750.0,2310.199951171875,2.799999952316284,1.320114254951477,23.8015079498291,23.10150909423828,4.199999809265137,13.5,29.0,0.030300406739115715,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407357634,"May 6, 2020, 11:55:01 AM",Passeio da Nina 06/05/2020,Walk,,4231,3.47,,,false,,activities/3407357634.gpx,,,4231.0,3302.0,3473.10009765625,9.199999809265137,1.0518170595169067,23.793758392333984,23.793800354003906,4.599999904632568,23.200000762939453,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3412863734,"May 7, 2020, 11:50:22 AM",Passeio da Nina 07/05/2020,Walk,,3738,1.98,,,false,,activities/3412863734.gpx,,,3738.0,1675.0,1982.0,2.700000047683716,1.1832835674285889,5.0,5.199999809265137,5.099999904632568,15.199999809265137,48.099998474121094,-0.01009081769734621,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418540143,"May 8, 2020, 12:12:18 PM",Passeio da Nina 08/05/2020,Walk,,3643,2.88,,,false,,activities/3418540143.gpx,,,3643.0,3036.0,2887.10009765625,2.5999999046325684,0.9509552121162415,7.97371768951416,9.57371997833252,4.599999904632568,13.399999618530273,5.699999809265137,-0.05541893094778061,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425320994,"May 9, 2020, 2:29:58 PM",Passeio do Ricky 09/05/2020,Walk,,7002,7.37,,,false,,activities/3425320994.gpx,,,7002.0,5132.0,7370.5,7.699999809265137,1.4361847639083862,68.75072479248047,68.55069732666016,4.300000190734863,30.200000762939453,42.0,0.0027135200798511505,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434194280,"May 11, 2020, 12:07:41 PM",Passeio da Nina 11/05/2020,Walk,,3671,2.57,,,false,,activities/3434194280.gpx,,,3671.0,2715.0,2575.5,5.900000095367432,0.9486187696456909,6.694761753082275,8.294759750366211,6.900000095367432,13.0,20.0,-0.0621238611638546,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
