,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro,perc_fechamento,perc_max
5472,2022-07-11,DEOP34,DIAGEO PL,919.81,919.81,919.81,919.81,10,919810,0.0,-0.0
5478,2022-07-11,DEXP4,DEXXOS PAR,6.8,6.89,6.73,6.8,5900,4011300,0.0,2.3222060957909907
5510,2022-07-22,DTCY3,DTCOM-DIRECT,5.8,5.8,5.8,5.8,100,58000,0.0,-0.0
5517,2022-07-22,E1DI34,CONSOLIDATED,249.18,249.18,249.18,249.18,20,598030,0.0,-0.0
5530,2022-07-04,AFLT3,AFLUENTE T,9.42,9.42,9.42,9.42,100,94200,0.0,-0.0
5569,2022-07-18,AZOI34,AUTOZONE INC,591.51,591.51,591.51,591.51,50,2957550,0.0,-0.0
5603,2022-07-11,E1XC34,EXELON CORP,237.82,237.82,237.82,237.82,60,1522040,0.0,-0.0
5608,2022-07-11,EALT3,ACO ALTONA,7.02,7.3,7.0,7.02,800,565200,0.0,4.109589041095885
5650,2022-07-22,E1XC34,EXELON CORP,240.01,240.01,240.01,240.01,10,360010,0.0,-0.0
5654,2022-07-22,E2TS34,ETSY INC,36.08,36.08,36.08,36.08,10,36080,0.0,-0.0
5677,2022-07-18,B2UR34,BURLINGTONST,25.68,25.68,25.68,25.68,20,59060,0.0,-0.0
5684,2022-07-18,BAER39,US AEROSPACE,26.24,26.24,26.24,26.24,2420,6371070,0.0,-0.0
5687,2022-07-18,BALM3,BAUMER,12.9,12.9,12.9,12.9,100,129000,0.0,-0.0
5689,2022-07-18,BALM4,BAUMER,10.5,10.5,10.5,10.5,200,210000,0.0,-0.0
5725,2022-07-11,EMAE4,EMAE,37.5,37.5,36.07,37.5,3400,12721200,0.0,3.8133333333333352
5751,2022-07-04,AVLL3,ALPHAVILLE,21.0,21.0,21.0,21.0,300,630000,0.0,-0.0
5752,2022-07-04,AXPB34,AMERICAN EXP,75.18,75.18,75.18,75.18,100,759310,0.0,-0.0
5760,2022-07-04,B1DX34,BECTON DICKI,264.0,264.0,264.0,264.0,40,1056000,0.0,-0.0
5766,2022-07-22,ELCI34,ESTEE LAUDER,712.08,720.64,705.82,712.08,130,9293910,0.0,2.0565053285967916
5793,2022-07-22,ENMT3,ENERGISA MT,82.0,82.0,82.0,82.0,100,820000,0.0,-0.0
5794,2022-07-22,ENMT4,ENERGISA MT,81.89,81.89,81.89,81.89,100,818900,0.0,-0.0
5796,2022-07-22,EPAR3,EMBPAR S/A,12.01,12.01,12.01,12.01,100,120100,0.0,-0.0
5807,2022-07-18,BCIR39,FT NASDCYBER,44.73,44.73,44.73,44.73,500,2236500,0.0,-0.0
5840,2022-07-11,ENMT4,ENERGISA MT,78.78,78.78,78.78,78.78,100,787800,0.0,-0.0
5841,2022-07-11,EPAR3,EMBPAR S/A,12.49,12.49,12.49,12.49,100,124900,0.0,-0.0
5893,2022-07-18,BEWC39,MSCI CANADA,44.61,44.61,44.61,44.61,570,2569530,0.0,-0.0
5896,2022-07-18,BEWQ39,MSCI FRANCE,40.2,40.2,40.2,40.2,10,40200,0.0,-0.0
5898,2022-07-18,BEWW39,MSCI MEXICO,61.28,61.28,61.28,61.28,480,2996590,0.0,-0.0
5901,2022-07-18,BEZU39,MSCIEUROZONE,48.05,48.05,48.05,48.05,970,4680070,0.0,-0.0
5902,2022-07-18,BFDA39,FT RISIDIVID,45.28,45.28,45.28,45.28,710,3214880,0.0,-0.0
5904,2022-07-18,BFXI39,CHINALARGECA,33.54,33.54,33.54,33.54,1360,4568140,0.0,-0.0
5908,2022-07-18,BGRT39,GLOBAL REIT,43.6,43.68,43.6,43.6,10,65480,0.0,0.1831501831501825
5909,2022-07-18,BGWH39,COREDIVGROWT,52.1,52.1,52.1,52.1,1220,6397880,0.0,-0.0
5923,2022-07-22,EQIX34,EQUINIX INC,45.04,45.04,44.64,45.04,180,847190,0.0,0.8880994671403131
5950,2022-07-22,F1IS34,FISERV INC,272.76,272.76,272.76,272.76,860,23457360,0.0,-0.0
5957,2022-07-04,BEES3,BANESTES,5.07,5.08,5.04,5.07,8100,4105600,0.0,0.7874015748031482
5961,2022-07-04,BEFA39,MSCI EAFE,41.06,41.06,41.06,41.06,270,1112720,0.0,-0.0
5965,2022-07-04,BEWG39,MSCI GERMANY,40.56,40.56,40.56,40.56,10,56780,0.0,-0.0
5976,2022-07-04,BIBB39,ICE BIOTECH,41.95,41.96,41.95,41.95,20,83900,0.0,0.023832221163011535
5982,2022-07-04,BIEU39,COREMSCI EUR,39.45,40.11,39.45,39.45,140,569010,0.0,1.645474943904257
5987,2022-07-11,EVEN3,EVEN,4.69,4.76,4.6,4.69,845300,396501300,0.0,3.361344537815125
5993,2022-07-11,F1FI34,F5 INC,205.49,205.49,205.49,205.49,10,369880,0.0,-0.0
5994,2022-07-11,F1MC34,FMC CORP,281.47,281.47,281.47,281.47,20,647380,0.0,-0.0
5996,2022-07-11,F1TN34,FORTINET INC,164.94,164.94,164.94,164.94,200,3298800,0.0,-0.0
5997,2022-07-11,F2RT34,FIRST IND RT,32.25,32.25,32.25,32.25,280,903000,0.0,-0.0
6005,2022-07-11,FESA3,FERBASA,45.65,45.65,45.65,45.65,100,456500,0.0,-0.0
6014,2022-07-18,BIHI39,USMEDICDEVIC,7.75,7.75,7.75,7.75,5400,4185000,0.0,-0.0
6027,2022-07-18,BIWF39,RUSSEL1000GR,48.89,48.89,48.89,48.89,1290,6306810,0.0,-0.0
6029,2022-07-18,BIXN39,GLOBAL TECH,8.56,8.56,8.56,8.56,10,10270,0.0,-0.0
6035,2022-07-18,BKYY39,FT CLOUD CPT,35.98,35.98,35.98,35.98,470,1691060,0.0,-0.0
6076,2022-07-04,BIGF39,GLOBAL INFRA,62.82,62.82,62.82,62.82,160,1005120,0.0,-0.0
6116,2022-07-11,FLTC34,FLEETCOR TEC,288.17,288.17,288.17,288.17,10,345800,0.0,-0.0
6134,2022-07-11,G1LP34,GALAPAGOS NV,15.09,15.09,15.09,15.09,100,150900,0.0,-0.0
6136,2022-07-11,G1PI34,GLOBAL PAYME,149.29,149.29,149.29,149.29,20,328430,0.0,-0.0
6144,2022-07-18,BMEB3,MERC BRASIL,11.27,11.27,11.27,11.27,100,112700,0.0,-0.0
6187,2022-07-22,G1AR34,GARTNER INC,350.0,350.0,350.0,350.0,20,805000,0.0,-0.0
6203,2022-07-04,BMIN4,MERC INVEST,13.9,13.9,13.9,13.9,100,139000,0.0,-0.0
6218,2022-07-04,BOEI34,BOEING,757.07,757.07,757.07,757.07,40,3103980,0.0,-0.0
6239,2022-07-11,GDXB39,VE GOLD ETF,47.85,47.85,47.85,47.85,1600,7670350,0.0,-0.0
6242,2022-07-11,GEPA3,GER PARANAP,22.64,22.64,22.64,22.64,500,1132000,0.0,-0.0
6250,2022-07-11,GFSA3,GAFISA,1.27,1.3,1.24,1.27,5711200,723873300,0.0,4.615384615384621
6254,2022-07-11,GGBR4,GERDAU,22.94,23.24,22.79,22.94,8208200,-2147483648,0.0,1.9363166953528355
6273,2022-07-18,BPAN4,BANCO PAN,6.22,6.32,6.2,6.22,3657900,-2147483648,0.0,1.898734177215189
6332,2022-07-04,BQUA39,MSCIUSQUAL F,40.22,40.22,40.22,40.22,70,301650,0.0,-0.0
6346,2022-07-04,BRIT3,BRISANET,1.83,1.93,1.83,1.83,399900,75001600,0.0,5.181347150259064
6370,2022-07-11,GPRO34,GOPRO,29.05,29.05,29.05,29.05,60,197540,0.0,-0.0
6371,2022-07-11,GPSI34,GAP,46.28,46.28,46.28,46.28,100,462800,0.0,-0.0
6384,2022-07-11,H1RB34,HER BLOCK IN,199.0,199.0,199.0,199.0,260,5174000,0.0,-0.0
6387,2022-07-18,BRGE3,ALFA CONSORC,6.2,6.2,6.2,6.2,1300,806000,0.0,-0.0
6392,2022-07-18,BRIV3,ALFA INVEST,5.4,5.4,5.4,5.4,200,108000,0.0,-0.0
6415,2022-07-18,BSOC39,GX SOCIAL MD,22.4,22.4,22.4,22.4,220,510720,0.0,-0.0
6429,2022-07-22,H1BA34,HUNTINGTON B,71.29,71.29,71.29,71.29,40,285160,0.0,-0.0
6432,2022-07-22,H1OG34,HARLEY-DAVID,189.62,189.62,189.62,189.62,10,189620,0.0,-0.0
6433,2022-07-22,H1OL34,HOLOGIC INC,389.9,389.9,389.9,389.9,20,896770,0.0,-0.0
6434,2022-07-22,H1RB34,HER BLOCK IN,205.71,205.71,205.71,205.71,80,1645680,0.0,-0.0
6443,2022-07-22,HAGA4,HAGA S/A,1.19,1.23,1.19,1.19,6100,739400,0.0,3.25203252032521
6464,2022-07-04,BSOX39,BKR SEMICOND,44.03,44.03,44.02,44.03,10,52830,0.0,0.02271178741766189
6474,2022-07-04,C1BL34,CHUBB LTD,263.07,263.07,263.07,263.07,20,736590,0.0,-0.0
6481,2022-07-11,H2UB34,HUBSPOT INC,31.93,31.93,31.93,31.93,100,319300,0.0,-0.0
6483,2022-07-11,HAGA3,HAGA S/A,2.71,2.73,2.71,2.71,3100,840500,0.0,0.73260073260073
6485,2022-07-11,HAGA4,HAGA S/A,1.3,1.3,1.25,1.3,5900,751700,0.0,3.8461538461538547
6497,2022-07-11,HBTS5,HABITASUL,37.0,37.0,37.0,37.0,100,370000,0.0,-0.0
6519,2022-07-18,BURT39,BKR MS WLD,39.12,39.12,39.12,39.12,170,665040,0.0,-0.0
6520,2022-07-18,BUSM39,MSCI US MVOL,47.5,47.5,47.5,47.5,570,2712250,0.0,-0.0
6522,2022-07-18,BVLU39,MSCIUSVALUEF,49.62,49.62,49.62,49.62,1870,9303750,0.0,-0.0
6526,2022-07-18,C1CI34,CROWN CASTLE,229.54,229.54,229.54,229.54,70,1721550,0.0,-0.0
6552,2022-07-22,HETA4,HERCULES,5.3,5.3,5.3,5.3,300,159000,0.0,-0.0
6565,2022-07-22,HOND34,HONDA MO,139.38,139.38,139.38,139.38,10,153300,0.0,-0.0
