,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro
11997,2022-07-19,C1DN34,CADENCE DESI,427.18,429.3,427.18,428.83,400,17124210
11998,2022-07-19,C1GP34,COSTAR GROUP,3.27,3.3,3.27,3.3,500,164420
11999,2022-07-19,C1HI34,CHINA PETROL,40.8,41.92,40.8,41.92,620,2625450
12000,2022-07-19,C1IC34,CIGNA CORP,370.5,371.58,370.48,371.55,310,11591860
12001,2022-07-19,C1MG34,CHIPOTLE MEX,362.88,362.88,362.88,362.88,0,217720
12002,2022-07-19,C1NS34,CELANESE COR,312.96,312.96,312.96,312.96,0,156480
12003,2022-07-19,C1OU34,COUPA SOFTWA,10.76,11.06,10.76,11.05,50,62690
12004,2022-07-19,C1SU34,CREDIT SUISS,14.9,15.38,14.9,15.34,1370,2107900
12005,2022-07-19,C1TV34,CORTEVA INC,72.41,72.76,72.41,72.73,7770,56270250
12006,2022-07-19,C2CA34,FEMSA SAB CV,60.0,60.0,60.0,60.0,70,420000
12007,2022-07-19,C2OI34,COINBASEGLOB,13.1,14.45,12.49,14.13,80050,110971010
12008,2022-07-19,C2RW34,CROWDSTRIKE,43.47,43.47,42.95,42.95,10,51850
12010,2022-07-19,CALI3,CONST A LIND,7.8,7.8,7.8,7.8,100,78000
12012,2022-07-19,CAMB3,CAMBUCI,4.54,4.54,4.4,4.45,1700,756400
12014,2022-07-19,CAML3,CAMIL,9.1,9.65,8.98,9.6,3510700,-2147483648
12016,2022-07-19,CARD3,CSU CARDSYST,13.01,13.53,12.84,13.36,91600,120964400
12019,2022-07-19,CASH3,MELIUZ,1.07,1.09,1.03,1.06,39276400,-2147483648
12021,2022-07-19,CATP34,CATERPILLAR,58.97,61.0,58.97,60.67,1040,6299690
12022,2022-07-19,CBAV3,CBA,9.98,10.18,9.85,9.97,5798000,-2147483648
12027,2022-07-19,CCRO3,CCR SA,12.22,12.22,12.0,12.04,5111900,-2147483648
12028,2022-07-05,CGAS5,COMGAS,124.0,124.0,120.0,120.0,4000,48514000
12030,2022-07-05,CGRA3,GRAZZIOTIN,28.0,28.24,28.0,28.24,1500,4224400
12032,2022-07-05,CGRA4,GRAZZIOTIN,28.06,28.8,27.6,28.35,8600,24246100
12034,2022-07-05,CHCM34,CHARTER COMM,42.36,43.09,42.24,43.01,192060,821619650
12035,2022-07-05,CHME34,CME GROUP,274.99,274.99,274.99,274.99,10,439980
12036,2022-07-05,CHVX34,CHEVRON,77.82,77.92,75.12,76.4,9220,70351570
12037,2022-07-05,CIEL3,CIELO,3.83,3.85,3.74,3.85,19282700,-2147483648
12040,2022-07-05,CLSA3,CLEARSALE,4.05,4.37,4.05,4.37,1194900,505621300
12042,2022-07-05,CLSC4,CELESC,55.11,55.4,54.0,55.03,4400,24130000
12044,2022-07-05,CMCS34,COMCAST,42.8,42.8,41.84,42.21,12060,51413440
12046,2022-07-05,CMIG3,CEMIG,14.99,16.02,14.76,15.83,1792700,-2147483648
12048,2022-07-05,CMIG4,CEMIG,10.32,10.37,9.98,10.13,14318100,-2147483648
12050,2022-07-05,CMIN3,CSNMINERACAO,3.67,3.69,3.52,3.63,11904100,-2147483648
12053,2022-07-05,COCA34,COCA COLA,57.34,57.61,55.91,55.91,32940,187253880
12054,2022-07-05,COCE5,COELCE,46.06,46.31,45.07,45.07,8200,37258400
12056,2022-07-05,COGN3,COGNA ON,2.0,2.11,1.95,2.07,38657900,-2147483648
12058,2022-07-05,COLG34,COLGATE,62.32,62.32,61.71,62.32,410,2564880
12060,2022-07-12,CTSH34,COGNIZANT,354.9,354.9,354.73,354.73,0,106450
12062,2022-07-12,CURY3,CURY S/A,7.15,7.52,7.11,7.47,1611800,1182618900
